0x0068a848,RegisterInterruptHandler
0x0068a86c,UnregisterInterruptHandler
0x0068a884,GetSRAndDisableInterrupt
0x0068a888,SetSR
0x0068a8a8,EnableInterrupt
0x0068a8b0,CreateBinarySemaphore
0x0068a918,CreateCountingSemaphore
0x0068a918,CreateCountingSemaphore_FW
0x0068a970,DeleteSemaphore
0x0068a970,DeleteSemaphore_FW
0x0068a9c8,TryTakeSemaphore
0x0068aa1c,TakeSemaphore
0x0068aa1c,TakeSemaphore_FW
0x0068aaec,GiveSemaphore
0x0068aaec,GiveSemaphore_FW
0x0068ab24,GetSemaphoreValue
0x0068ab8c,CreateTask
0x0068ab8c,CreateTask_FW
0x0068ae1c,ExitTask
0x0068ae1c,ExitTask_FW
0x0068af04,CreateTaskStrictly
0x0068af38,CreateMessageQueueStrictly
0x0068af5c,CreateEventFlagStrictly
0x0068af80,CreateBinarySemaphoreStrictly
0x0068afa4,CreateCountingSemaphoreStrictly
0x0068afc8,CreateRecursiveLockStrictly
0x0068afec,TakeSemaphoreStrictly
0x0068b018,ReceiveMessageQueueStrictly
0x0068b044,PostMessageQueueStrictly
0x0068b070,WaitForAnyEventFlagStrictly
0x0068b09c,WaitForAllEventFlagStrictly
0x0068b0c8,AcquireRecursiveLockStrictly
0x0068b104,DebugAssert
0x0068ebf8,CreateEventFlag
0x0068ec50,DeleteEventFlag
0x0068eca0,CheckAnyEventFlag
0x0068ece8,CheckAllEventFlag
0x0068ed30,WaitForAnyEventFlag
0x0068ee14,WaitForAllEventFlag
0x0068eed4,SetEventFlag
0x0068ef08,ClearEventFlag
0x0068ef40,GetEventFlagValue
0x0068f050,CreateMessageQueue
0x0068f0d4,DeleteMessageQueue
0x0068f164,ReceiveMessageQueue
0x0068f22c,TryReceiveMessageQueue
0x0068f2b0,PostMessageQueue
0x0068f368,TryPostMessageQueue
0x0068f3a8,GetNumberOfPostedMessages
0x0068f414,CreateRecursiveLock
0x0068f464,DeleteRecursiveLock
0x0068f4b4,AcquireRecursiveLock
0x0068f5d4,ReleaseRecursiveLock
0x0068f868,SleepTask
0x0068f868,SleepTask_FW
0x006994c4,LocalTime
0x0069991c,time
0x006999cc,GetTimeOfSystem_FW
0x006ae840,_log
0x006b0fd0,_sqrt
0xf8000d88,memShow_FW
0xf8002d40,strncpy
0xf8002d7c,strncmp
0xf8002dc8,strchr
0xf8002dec,strrchr
0xf8002e14,strlen
0xf8002e14,strlen_FW
0xf8002efc,malloc
0xf8002f54,free
0xf800430c,drysh_FW
0xf80043b4,err_init_task
0xf8004558,task_ClockSave
0xf8005378,GetMemInfo
0xf8005be0,open
0xf8005c90,close
0xf8005e34,Read
0xf8005e34,read
0xf8005e34,Read_FW
0xf800c3c8,RotateConsoleZOder_FW
0xf800c5d8,CPrintf_FW
