0xffa46f4c,DisableZoomLensEncoderPowerControl_FW
0xffa46c8c,DisableZoomPiCircuit_FW
0xff8462ec,DispCon_GetLcdGainAdjParameter_FW
0xff8463ac,DispCon_GetLcdGammaParameter_FW
0xff84611c,DispCon_GetVideoAdjParameter_FW
0xff846338,DispCon_SaveLcdGainAdjParameter_FW
0xff846428,DispCon_SaveLcdGammaParameter_FW
0xff8461a4,DispCon_SaveVideoAdjParameter_FW
0xff845fa8,DispCon_SetDisplayType_FW
0xff846220,DispCon_SetLcdGainAdjParameter_FW
0xff846354,DispCon_SetLcdGammaParameter_FW
0xff84602c,DispCon_SetMaxBackLightBrightness_FW
0xff8460ac,DispCon_SetVideoAdjParameter_FW
0xff845ef0,DispCon_ShowBitmapColorBar
0xff845ef0,DispCon_ShowBitmapColorBar_FW
0xff845ed4,DispCon_ShowBlackChart_FW
0xff845d84,DispCon_ShowColorBar_FW
0xff845fc8,DispCon_ShowColorChart_FW
0xff845f50,DispCon_ShowCustomColorBar_FW
0xff845dd4,DispCon_ShowFiveStep_FW
0xff846328,DispCon_ShowLcdGainAdjParameter_FW
0xff8463f0,DispCon_ShowLcdGammaParameter_FW
0xff846178,DispCon_ShowVideoAdjParameter_FW
0xff845e9c,DispCon_ShowWhiteChart_FW
0xff84601c,DispCon_TurnOffBackLight_FW
0xff845ffc,DispCon_TurnOffDisplay_FW
0xff84600c,DispCon_TurnOnBackLight_FW
0xff845fec,DispCon_TurnOnDisplay_FW
0xff93bc50,DispDev.Create_FW
0xff939df4,DispDev_EnableEventProc_FW
0xff84da58,DisplayFactoryMode_FW
0xff825c20,DoAELock
0xff863a80,DoAFLock,(stubs_entry_2.s)
0xff939ee8,Driver.Create_FW
0xff939ee8,Driver_EnableEventProc_FW
0xff814e04,drysh_FW
0xff93a150,Dump32_FW
0xff93a140,Dump_FW
0xff84ed54,DumpAdjMirror_FW
0xffa16478,DumpTransparentMemoryItem_FW
0xff8c2b18,E2LatOn_FW
0xff9ef370,EF.AdjPreFlash_FW
0xff8b0638,EF.IsChargeFull_FW
