0xf8036528,j_PutsCameraLogEvent_FW
0xf803652c,OpLog.Create_FW
0xf80365a8,j_NewTaskShell_FW
0xf80365ac,j_ExMem.View_FW
0xf80365b0,j_ExMem.AllocUncacheable_FW
0xf80365b4,j_ExMem.FreeUncacheable_FW
0xf80365b8,j_ExMem.AllocCacheable_FW
0xf80365bc,j_ExMem.FreeCacheable_FW
0xf80365c0,ExMem_FW
0xf80375a0,SS.GetDigitalZoomPosition_FW
0xf8037bb8,DoAFLock
0xf8037bf0,UnlockAF
0xf8037f38,EnterToCompensationEVF
0xf8037f7c,ExitFromCompensationEVF
0xf8037fdc,DoAELock
0xf8038000,UnlockAE
0xf8039ad4,AllocateUncacheableMemory
0xf8039b14,FreeUncacheableMemory
0xf8039d70,_GetSystemTime
0xf8039ea8,SetTimerAfter
0xf8039f28,SetTimerWhen
0xf8039f8c,CancelTimer
0xf803b07c,TurnOffE1_FW
0xf803b128,task_Bye
0xf803b30c,Restart
0xf803b7d8,HardwareDefectWithRestart_FW
0xf803b82c,HardwareDefect_FW
0xf803c1cc,strtolx
0xf803c3c8,strtol
0xf803c3dc,srand
0xf803c3e8,rand
0xf803c418,memcpy
0xf803c418,memcpy_FW
0xf804a1a4,ExpCtrlTool_StartContiAE
0xf804a30c,ExpCtrlTool_StopContiAE
0xf804c7bc,task_WBCtrl
0xf804f554,task_FrameTask
0xf8052160,task_AFTask
0xf80532e0,GetMacroSupportZoomPoint_FW
0xf80547c4,task_GapMan
0xf805ba1c,LiveImageTool.GetDzoomPosition_FW
0xf805c31c,GetVRAMHPixelsSize
0xf805c31c,GetVRAMHPixelsSize_FW
0xf805c328,GetVRAMVPixelsSize
0xf805c328,GetVRAMVPixelsSize_FW
0xf805c334,GetMovieJpegVRAMHPixelsSize_FW
0xf805c340,GetMovieJpegVRAMVPixelsSize_FW
0xf8063228,InitializeWLAN_FW
0xf8063238,TerminateWLAN_FW
0xf806334c,LeaveWLANNetwork_FW
0xf8066b30,UIFS_CancelStoreLensTimer_FW
0xf8066d40,PB2Rec
0xf8066d80,Rec2PB
0xf80675a8,task_InitFileModules
0xf80675e0,task_CommonDrivers
0xf806b230,UIFS_StartMovieRecord_FW
0xf806b254,UIFS_StopMovieRecord_FW
0xf806d12c,UnsetZoomForMovie
0xf806d64c,UIFS_GetNumOfOptZoomPos_FW
0xf806d7ac,UIFS_MoveZoomTo_FW
0xf807117c,UIFS_IsAvailableShots_FW
0xf8071794,UIFS_GetStillShotableNumber_FW
0xf8071798,UIFS_GetMovieRecoadableNumber_FW
0xf8074d10,DispCon_ShowColorBar_FW
0xf8074d9c,DispCon_ShowFiveStep_FW
0xf8074eec,DispCon_ShowWhiteChart_FW
0xf8074f40,DispCon_ShowBlackChart_FW
0xf8074f5c,DispCon_ShowBitmapColorBar
0xf8074f5c,DispCon_ShowBitmapColorBar_FW
0xf8074fcc,DispCon_ShowCustomColorBar_FW
0xf8075038,DispCon_SetDisplayType_FW
0xf8075058,DispCon_ShowColorChart_FW
0xf807507c,DispCon_ShowWhiteLine_FW
0xf8075238,DispCon_ShowNStepsChart_FW
0xf80753b4,DispCon_TurnOnDisplay_FW
0xf80753b4,TurnOnDisplay
0xf80753c4,DispCon_TurnOffDisplay_FW
0xf80753c4,TurnOffDisplay
0xf80753d4,DispCon_TurnOnBackLight_FW
0xf80753e4,DispCon_TurnOffBackLight_FW
0xf80753f4,DispCon_SetMaxBackLightBrightness_FW
0xf8075480,DispCon_SetVideoAdjParameter_FW
0xf807550c,DispCon_GetVideoAdjParameter_FW
0xf8075574,DispCon_ShowVideoAdjParameter_FW
0xf80755ac,DispCon_SaveVideoAdjParameter_FW
0xf80756a4,DispCon_SetLcdGainAdjParameter_FW
0xf80756f0,DispCon_GetLcdGainAdjParameter_FW
0xf807572c,DispCon_ShowLcdGainAdjParameter_FW
0xf807573c,DispCon_SaveLcdGainAdjParameter_FW
0xf8075758,DispCon_ShowHdChart_FW
0xf80766dc,GetAdVBattBottom_FW
0xf80766e4,GetAdChValue_FW
0xf807671c,_avsShowAdjData_FW
0xf8076910,_avsInit_FW
0xf80769e8,_avsExec_FW
0xf8076a58,task_AvsTask
0xf8076c38,CheckAvs_FW
0xf8076d2c,_avsLoadParamData_FW
