0xff810da8,memShow_FW
0xff813f38,strncpy
0xff813f74,strncmp
0xff813fc0,strchr
0xff813fe4,strrchr
0xff81400c,strlen
0xff81400c,strlen_FW
0xff8140dc,malloc
0xff814138,free
0xff815eac,drysh_FW
0xff815f28,err_init_task
0xff816078,task_ClockSave
0xff81a070,GetMemInfo
0xff81a8e0,open
0xff81a990,close
0xff81ab78,Read
0xff81ab78,read
0xff81ab78,Read_FW
0xff81e54c,RegisterInterruptHandler
0xff81e570,UnregisterInterruptHandler
0xff81e588,GetSRAndDisableInterrupt
0xff81e58c,SetSR
0xff81e5ac,EnableInterrupt
0xff81e5b4,CreateTask
0xff81e5b4,CreateTask_FW
0xff81e844,ExitTask
0xff81e844,ExitTask_FW
0xff81e88c,DebugAssert
0xff81ef94,RotateConsoleZOder_FW
0xff81f1a4,CPrintf_FW
0xff81f200,CPutChar_FW
0xff81f22c,GetCh_FW
0xff81f27c,GetStringWithPrompt_FW
0xff81f2dc,OpenConsole_FW
0xff81f448,CloseConsole_FW
0xff81f804,task_Startup
0xff81f954,_uartr_req
0xff81f9e4,task_UartLog
0xff81fb38,StartRedirectUART_FW
0xff8202fc,sprintf_FW
0xff820340,vsprintf
0xff82037c,strcpy
0xff82037c,strcpy_FW
0xff820394,j_strcmp_FW
0xff820394,strcmp
0xff8203bc,strcmp_FW
0xff8203d8,memcmp
0xff8203d8,memcmp_FW
0xff8204d4,srand
0xff8204e0,rand
0xff831b08,task_TempCheck
0xff831df4,GetVBatVoltage_FW
0xff831df4,VbattGet
0xff831df4,VbattGet_FW
0xff832e94,kbd_p2_f
0xff8331c4,task_PhySw
0xff8334b8,GetSwitchStatus_FW
0xff833524,GetSDDetect_FW
0xff83352c,GetSDProtect
0xff83352c,GetSDProtect_FW
0xff833548,GetDialEventId_FW
0xff83354c,GetBatteryCoverClose_FW
0xff833554,kbd_read_keys
0xff8335d0,kbd_p1_f
0xff8335dc,kbd_p1_f_cont
0xff8343f8,EngDrvOut
0xff834410,EngDrvIn
0xff834418,EngDrvRead
0xff83442c,EngDrvBits
0xff834cac,RenameFile_Fut
0xff834d40,DeleteFile_Fut
0xff834db4,MakeDirectory_Fut
0xff834e24,DeleteDirectory_Fut
0xff834e7c,Fopen_Fut
0xff834e7c,Fopen_Fut_FW
0xff834ebc,Fclose_Fut
0xff834ebc,Fclose_Fut_FW
0xff834f68,Fread_Fut
0xff834f68,Fread_Fut_FW
0xff834fbc,Fwrite_Fut
0xff834fbc,Fwrite_Fut_FW
0xff835010,Fgets_Fut
0xff83505c,Fseek_Fut
0xff83505c,Fseek_Fut_FW
0xff8350a8,Feof_Fut
0xff8350e4,Fflush_Fut
0xff83535c,Open
0xff83535c,Open_FW
0xff8353b4,Close
0xff8353b4,Close_FW
0xff835440,j_Read_FW
0xff835444,Write
0xff835444,write
0xff835444,Write_FW
0xff8354d0,Lseek
0xff8354d0,lseek
0xff8354d0,Lseek_FW
0xff83550c,stat
0xff835640,SetFileTimeStamp
0xff835684,SetFileAttributes
0xff835828,mkdir
0xff835878,j_StartCameraLog_FW
0xff83587c,j_ShowCameraLog_FW
0xff835880,j_ShowCameraLogInfo_FW
0xff835884,j_StopCameraLog_FW
0xff835888,j_PutsCameraLogEvent_FW
0xff83588c,OpLog.Create_FW
0xff8358f0,j_NewTaskShell_FW
0xff8358f4,j_ExMem.View_FW
0xff8358f8,j_ExMem.AllocUncacheable_FW
0xff8358fc,j_ExMem.FreeUncacheable_FW
0xff835900,j_ExMem.AllocCacheable_FW
0xff835904,j_ExMem.FreeCacheable_FW
0xff835908,ExMem_FW
0xff836654,PT_GetDigitalZoomPosition_FW
0xff83687c,DoAFLock
0xff8368b4,UnlockAF
0xff8369d4,EnterToCompensationEVF
0xff836a18,ExitFromCompensationEVF
0xff836a6c,DoAELock
0xff836a90,UnlockAE
0xff837cb4,CreateMessageQueue
0xff837d38,DeleteMessageQueue
0xff837dc8,ReceiveMessageQueue
0xff837e90,TryReceiveMessageQueue
0xff837f14,PostMessageQueue
0xff837fcc,TryPostMessageQueue
0xff83800c,GetNumberOfPostedMessages
0xff838078,CreateBinarySemaphore
0xff8380e0,CreateCountingSemaphore
0xff8380e0,CreateCountingSemaphore_FW
0xff838138,DeleteSemaphore
0xff838138,DeleteSemaphore_FW
0xff838190,TryTakeSemaphore
0xff8381e4,TakeSemaphore
0xff8381e4,TakeSemaphore_FW
0xff8382b4,GiveSemaphore
0xff8382b4,GiveSemaphore_FW
0xff8382ec,GetSemaphoreValue
0xff83851c,SleepTask
0xff83851c,SleepTask_FW
0xff8385dc,CreateTaskStrictly
0xff838610,CreateMessageQueueStrictly
0xff838634,CreateEventFlagStrictly
0xff838658,CreateBinarySemaphoreStrictly
0xff83867c,CreateCountingSemaphoreStrictly
0xff8386a0,CreateRecursiveLockStrictly
0xff8386c4,TakeSemaphoreStrictly
0xff8386f0,ReceiveMessageQueueStrictly
0xff83871c,PostMessageQueueStrictly
0xff838748,WaitForAnyEventFlagStrictly
0xff838774,WaitForAllEventFlagStrictly
0xff8387a0,AcquireRecursiveLockStrictly
0xff838898,AllocateUncacheableMemory
0xff8388d8,FreeUncacheableMemory
0xff838b44,_GetSystemTime
0xff838c7c,SetTimerAfter
0xff838cfc,SetTimerWhen
0xff838d60,CancelTimer
0xff839e6c,task_Bye
0xff839ff0,Restart
0xff83a728,task_StartupImage
0xff83de48,memcpy
0xff83de48,memcpy_FW
0xff83df2c,strtolx
0xff83e128,strtol
0xff844034,ExpCtrlTool_StartContiAE
0xff84410c,ExpCtrlTool_StopContiAE
0xff846eb8,task_AFTask
0xff849fec,task__ImageSensorTask
0xff853064,DispCon_ShowColorBar_FW
0xff8530f0,DispCon_ShowFiveStep_FW
0xff853224,DispCon_ShowWhiteChart_FW
0xff853278,DispCon_ShowBlackChart_FW
0xff853294,DispCon_ShowBitmapColorBar
0xff853294,DispCon_ShowBitmapColorBar_FW
0xff853308,DispCon_ShowCustomColorBar_FW
0xff85337c,DispCon_SetDisplayType_FW
0xff85339c,DispCon_ShowColorChart_FW
0xff8533c0,DispCon_ShowWhiteLine_FW
0xff8534e0,DispCon_TurnOnDisplay_FW
0xff8534e0,TurnOnDisplay
0xff8534f0,DispCon_TurnOffDisplay_FW
0xff8534f0,TurnOffDisplay
0xff853500,DispCon_TurnOnBackLight_FW
0xff853510,DispCon_TurnOffBackLight_FW
0xff853520,DispCon_SetMaxBackLightBrightness_FW
