0xffc00dcc,memShow_FW
0xffc03f60,strncpy
0xffc03f9c,strncmp
0xffc03fe8,strchr
0xffc0400c,strrchr
0xffc04034,strlen
0xffc04034,strlen_FW
0xffc04104,malloc
0xffc04160,free
0xffc05ed4,drysh_FW
0xffc05f50,err_init_task
0xffc0616c,task_ClockSave
0xffc0a760,GetMemInfo
0xffc0afd8,open
0xffc0b088,close
0xffc0b270,Read
0xffc0b270,read
0xffc0b270,Read_FW
0xffc0edc8,RegisterInterruptHandler
0xffc0edec,UnregisterInterruptHandler
0xffc0ee04,GetSRAndDisableInterrupt
0xffc0ee08,SetSR
0xffc0ee28,EnableInterrupt
0xffc0ee30,CreateBinarySemaphore
0xffc0ee98,CreateCountingSemaphore
0xffc0ee98,CreateCountingSemaphore_FW
0xffc0eef0,DeleteSemaphore
0xffc0eef0,DeleteSemaphore_FW
0xffc0ef48,TryTakeSemaphore
0xffc0ef9c,TakeSemaphore
0xffc0ef9c,TakeSemaphore_FW
0xffc0f06c,GiveSemaphore
0xffc0f06c,GiveSemaphore_FW
0xffc0f0a4,GetSemaphoreValue
0xffc0f110,CreateTask
0xffc0f110,CreateTask_FW
0xffc0f3a0,ExitTask
0xffc0f3a0,ExitTask_FW
0xffc0f3e8,CreateTaskStrictly
0xffc0f41c,CreateMessageQueueStrictly
0xffc0f440,CreateEventFlagStrictly
0xffc0f464,CreateBinarySemaphoreStrictly
0xffc0f488,CreateCountingSemaphoreStrictly
0xffc0f4ac,CreateRecursiveLockStrictly
0xffc0f4d0,TakeSemaphoreStrictly
0xffc0f4fc,ReceiveMessageQueueStrictly
0xffc0f528,PostMessageQueueStrictly
0xffc0f554,WaitForAnyEventFlagStrictly
0xffc0f580,WaitForAllEventFlagStrictly
0xffc0f5ac,AcquireRecursiveLockStrictly
0xffc0f5e8,DebugAssert
0xffc0fcf0,RotateConsoleZOder_FW
0xffc0ff00,CPrintf_FW
0xffc0ff5c,CPutChar_FW
0xffc0ff88,GetCh_FW
0xffc0ffd8,GetStringWithPrompt_FW
0xffc10038,OpenConsole_FW
0xffc101a4,CloseConsole_FW
0xffc10560,task_Startup
0xffc106ac,_uartr_req
0xffc1073c,task_UartLog
0xffc10890,StartRedirectUART_FW
0xffc111a4,sprintf_FW
0xffc111e8,vsprintf
0xffc11224,strcpy
0xffc11224,strcpy_FW
0xffc1123c,j_strcmp_FW
0xffc1123c,strcmp
0xffc11264,strcmp_FW
0xffc11280,memcmp
0xffc11280,memcmp_FW
0xffc1137c,srand
0xffc11388,rand
0xffc227f4,task_BatteryTask
0xffc22cf0,GetVBatVoltage_FW
0xffc22cf0,VbattGet
0xffc22cf0,VbattGet_FW
0xffc23604,kbd_p2_f
0xffc23934,task_PhySw
0xffc23c34,GetSwitchStatus_FW
0xffc23ca0,GetSDDetect_FW
0xffc23ca8,GetSDProtect
0xffc23ca8,GetSDProtect_FW
0xffc23cc4,GetDialEventId_FW
0xffc23cc8,GetBatteryCoverClose_FW
0xffc23cd0,IsHvSensorExist_FW
0xffc23cd4,kbd_read_keys
0xffc23d54,kbd_p1_f
0xffc23d60,kbd_p1_f_cont
0xffc24b88,EngDrvOut
0xffc24ba0,EngDrvIn
0xffc24ba8,EngDrvRead
0xffc24bbc,EngDrvBits
0xffc24e3c,DisplayFactoryMode_FW
0xffc24e48,UndisplayFactoryMode_FW
0xffc25050,SetDurianMode_FW
0xffc25088,ClearDurianMode_FW
0xffc25088,ClearFactoryMode_FW
0xffc25138,SetFactoryMode_FW
0xffc25170,ClearDUIDFixFlag_FW
0xffc251a8,SetDUIDFixFlag_FW
0xffc251e4,IsFactoryMode_FW
0xffc25224,IsDUIDFixFlag_FW
0xffc2526c,IsNormalCameraMode_FW
0xffc25284,StartFactoryModeController_FW
0xffc25b9c,RenameFile_Fut
0xffc25c30,DeleteFile_Fut
0xffc25ca4,MakeDirectory_Fut
0xffc25d14,DeleteDirectory_Fut
0xffc25d6c,Fopen_Fut
0xffc25d6c,Fopen_Fut_FW
0xffc25dac,Fclose_Fut
0xffc25dac,Fclose_Fut_FW
0xffc25e58,Fread_Fut
0xffc25e58,Fread_Fut_FW
0xffc25eac,Fwrite_Fut
0xffc25eac,Fwrite_Fut_FW
